title,url,current_price,Noise Cancellation,Water Resistant,Charging Interface,Bluetooth Version,Microphone,Capacity for buds,Capacity for Case
XO G9 Chime ENC Wireless Earbuds,https://priceoye.pk/wireless-earbuds/xo/xo-g9-chime-enc-wireless-earbuds,3399,Yes,Yes,Type-C,V5.1,Yes,No,No
XO BE36 Portable Wireless Bluetooth Headphones,https://priceoye.pk/wireless-earbuds/xo/xo-be36-portable-wireless-bluetooth-headphones,3649,No,No,Type-C,v5.0,Yes,300mAh,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Joyroom Airpods Pro (JR-T03S Pro) Without ANC,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-airpods-pro-jr-t03s-pro-without-anc,3949,No,No,Type-C,V5.0,Yes,30 mAh,No
Air R02 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/air-r02-tws-wireless-earbuds,1099,No,No,Type-C,V5.0,Yes,30 mAh,No
Haino teko BD 22 Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/haino-teko/haino-teko-bd-22-pro-wireless-earbuds,3899,No,No,No,V5.0,Yes,30 mAh,300mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Faster Roar FBT410 Earbuds,https://priceoye.pk/wireless-earbuds/faster/faster-roar-fbt410-earbuds,3449,Yes,No,Type-C,V5.3,Yes,35mAh,No
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Hoco EQ5 True Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/hoco-eq5-true-wireless-tws-earbuds,4599,Yes,No,Type-C,V5.3,Yes,40mAh,300mAh
Bose QC Headphones,https://priceoye.pk/wireless-earbuds/bose/bose-qc-headphones,85999,Yes,No,Type-C,V5.1,Yes,No,No
Buds Q Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/buds-q-pro-wireless-earbuds,1599,Yes,No,Type-C,V5.0,Yes,40mAh,No
Sovo Buzzer Pro SBT-900 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/sovo/sovo-buzzer-pro-sbt-900-wireless-earbuds,3199,No,Yes,Type-C,V5.3,Yes,No,360mAh
Soundpeats Life Lite True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-life-lite-true-wireless-earbuds,5999,Yes,No,Type-C,v5.3,Yes,32*2mAh,300mAh
Hottu HOT TS10 Wireless Earphone,https://priceoye.pk/wireless-earbuds/hottu/hottu-hot-ts10-wireless-earbuds,3249,Yes,No,Type-C,v5.1,Yes,40*2mAh,300mAh
Aspor A620 Airpods Pro 2 ANC V5.4 (Fully Upgraded),https://priceoye.pk/wireless-earbuds/aspor/aspor-a620-airpods-pro-2-anc-v5-4-fully-upgraded,3449,No,Yes,Lightning,V5.1,Yes,30 mAh,300mAh
Hoco EQ16 True Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/hoco-eq16-true-wireless-tws-earbuds,3299,Yes,No,Type-C,V5.3,Yes,40mAh,320mAh
Morui MPODS PRO 2 ANC Wireless Earbuds With Buzzer,https://priceoye.pk/wireless-earbuds/morui/morui-mpods-pro-2-anc-wireless-earbuds-with-buzzer,4299,Yes,No,Type-C,V5.3,Yes,55mAh,550mAh
MONSTER AIRMARS XKT01 True Wireless Earphones,https://priceoye.pk/wireless-earbuds/monster/monster-airmars-xkt01-true-wireless-earphones,3949,Yes,No,No,v5.2,Yes,No,300mh
REMAX RB-S18 In-Ear Wireless Bluetooth V4.2 Earphones,https://priceoye.pk/wireless-earbuds/assorted/remax-rb-s18-in-ear-wireless-bluetooth-v4-2-earphones,1699,Yes,No,No,V4.2,Yes,65 mAH,No
XO T5Pods Bluetooth Airpods,https://priceoye.pk/wireless-earbuds/xo/xo-t5pods-bluetooth-airpods,2699,Yes,Yes,Type-C,v5.1,Yes,40mAh,300mAh
Aukey TWS Wireless Earbuds (EP-M1S),https://priceoye.pk/wireless-earbuds/aukey/aukey-tws-wireless-earbuds-ep-m1s,5399,No,Yes,No,V5.1,Yes,40*2 mAh,No
Bluks BX-600 ANC and ENC Wireless Earbuds,https://priceoye.pk/wireless-earbuds/bluks/bluks-bx-600-anc-and-enc-wireless-earbuds,4499,Yes,No,Type-C,V5.4,Yes,30mAh,400mAh
1HORA HT47 True Wireless Earphones,https://priceoye.pk/wireless-earbuds/1hora/1hora-ht47-true-wireless-earphones,2899,No,No,No,V5.1,Yes,No,300mAh
Airpods Pro 2 With Slicon Pouch TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/airpods-pro-2-with-slicon-pouch-tws-wireless-earbuds,1399,Yes,Yes,Type-C,V5.0,Yes,No,No
V20 touch screen Lcd Earbuds,https://priceoye.pk/wireless-earbuds/assorted/v20-touch-screen-lcd-earbuds,2299,Yes,Yes,No,V5.3,Yes,No,No
C9 TWS Wireless Gaming Earbuds,https://priceoye.pk/wireless-earbuds/assorted/c9-tws-wireless-gaming-earbuds,1799,Yes,No,Type-C,V5.1,Yes,33mAh,200mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
QCY T13 ANC Wireless Earphones,https://priceoye.pk/wireless-earbuds/qcy/qcy-t13-anc-wireless-earphones,6499,Yes,No,No,v5.3,Yes,No,No
QCY Melobuds HT05 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/qcy/qcy-ht05-earbuds,7799,Yes,No,Type-C,V5.2,Yes,30 mAh,No
Morui MHP-01 Wireless Headphones,https://priceoye.pk/wireless-earbuds/morui/morui-mhp-01-wireless-headphones,4999,Yes,No,Type-C,V5.3,Yes,No,No
Excellent Audio Clarity,https://priceoye.pk/wireless-earbuds/assorted/amgras-future-ii-pro-bluetooth-transparent-earphone-enc,2499,Yes,Yes,Type-C,V5.3,Yes,No,No
ALDRI TWS Smart Bluetooth Headset,https://priceoye.pk/wireless-earbuds/assorted/aldri-tws-smart-bluetooth-headset,1749,No,Yes,No,V5.0,No,No,No
Mars Elite Series Wireless Earbuds E-53,https://priceoye.pk/wireless-earbuds/mars/mars-elite-series-wireless-earbuds-e-53,3199,Yes,Yes,Type-C,V5.3,Yes,30mAh,320mAh
Bluks BX-501 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/bluks/bluk-s-bx-501-wireless-earbuds,2499,Yes,No,Type-C,V5.1,Yes,35mAh,380mAh
Papada A3 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/papada-a3-tws-wireless-earbuds,2399,No,Yes,Type-C,V5.2,Yes,No,No
AirPods 3rd Generation Mercantile,https://priceoye.pk/wireless-earbuds/mercantile/airpods-3rd-generation-mercantile,35499,Yes,Yes,Lightning,V5.0,Yes,No,No
PW-27 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/pw-27-tws-wireless-earbuds,1049,Yes,No,Type-C,V5.3,Yes,No,No
Redmi Buds 5 Earbuds,https://priceoye.pk/wireless-earbuds/xiaomi/redmi-buds-5-earbuds,7799,Yes,Yes,Type-C,v5.3,Yes,54mAh,480mAh
Joyroom T03S Pro Earbuds ANC Pop Up Version,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-t03s-pro-earbuds-anc-pop-up-version,9999,Yes,Yes,Lightning,V5.0,Yes,45mAh,360mAh
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Sony WH-G700/WZ Over-Head Bluetooth Headphones,https://priceoye.pk/wireless-earbuds/sony/sony-wh-g700-wz-over-head-bluetooth-headphones,49999,Yes,No,Type-C,V5.3,Yes,No,No
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
Monster Achieve 100 Airlinks,https://priceoye.pk/wireless-earbuds/monster/monster-achieve-100-airlinks,9999,No,Yes,Type-C,V5.3,Yes,No,No
J59 TWS Stereo Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/j59-tws-stereo-wireless-earbuds,2049,Yes,Yes,Type-C,V5.0,Yes,No,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Mars Elite Series Wireless Earbuds E-52,https://priceoye.pk/wireless-earbuds/mars/mars-elite-series-wireless-earbuds-e-52,3099,Yes,Yes,Type-C,V5.3,Yes,35mAh,300mAh
Jr07 Open Dual Mic Noise Cancel Earbuds,https://priceoye.pk/wireless-earbuds/assorted/jr07-open-dual-mic-noise-cancel-earbuds,1999,Yes,Yes,No,V5.3,Yes,35mah,250mah
E11 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/e11-tws-wireless-earbuds,2499,Yes,Yes,Type-C,V5.4,Yes,No,No
XO BE18 Portable Wireless Bluetooth Headset,https://priceoye.pk/wireless-earbuds/xo/xo-be18-portable-wireless-bluetooth-headset,4139,No,No,Type-C,v5.0,Yes,No,250mAh
Realme Buds Air 2,https://priceoye.pk/wireless-earbuds/realme/realme-air-2-wireless-earbuds,5799,Yes,Yes,Type-C,V5.2,Yes,30 mAh,No
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
OnePlus Bullets Z3 Wireless Neckband,https://priceoye.pk/wireless-earbuds/oneplus/oneplus-bullets-z3-wireless-neckband,7999,Yes,Yes,Type-C,V5.3,Yes,No,220mAh
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Faster R19 Rogufit Earbuds,https://priceoye.pk/wireless-earbuds/faster/faster-r19-rogufit-earbuds,3449,Yes,Yes,Type-C,V5.4,Yes,50 mAh,500 mAh
Joyroom Jdots Series JR-DB2 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-jdots-series-jr-db2-true-wireless-earbuds,6999,Yes,Yes,No,V5.3,Yes,35mAh,500mAh
Faster FBT430 Raptor Earbuds,https://priceoye.pk/wireless-earbuds/faster/faster-fbt430-raptor-earbuds,3449,Yes,Yes,Type-C,V5.3,Yes,35mAh,400mAh
Faster FBT480 Spino Earbuds,https://priceoye.pk/wireless-earbuds/faster/faster-fbt480-spino-earbuds,2999,Yes,Yes,Type-C,V5.4+EDR,Yes,30 mAh,350 mAh
YD05 TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/yd05-tws-earbuds,1649,No,No,No,V5.1,Yes,No,No
Buds Pro 6 Tws Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/buds-pro-6-tws-wireless-earbuds,1949,No,No,Type-C,V5.3,Yes,30mAh,200mAh
Bluks BX-82 Wireless Headphone,https://priceoye.pk/wireless-earbuds/bluks/bluks-bx-82-wireless-headphone,4099,No,No,No,No,Yes,400mAh,No
QCY Crossky GTR2 Open Ear Wireless Earbuds,https://priceoye.pk/wireless-earbuds/qcy/qcy-crossky-gtr2-open-ear-wireless-earbuds,6599,Yes,Yes,Type-C,V5.4,Yes,No,No
V-103 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/v-103-tws-wireless-earbuds,2199,No,No,Type-C,V5.0,Yes,30mAh,No
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Aukey Move Air True Wireless Earbuds (EP-M2),https://priceoye.pk/wireless-earbuds/aukey/aukey-move-air-true-wireless-earbuds-ep-m2,4999,No,Yes,Type-C,V5.3,Yes,30mAh,No
Mcdodo HP-329 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/mcdodo/mcdodo-hp-329-wireless-earbuds,4249,No,No,Type-C,V5.3,Yes,30mAh,300mAh
Hoco EQ20 True Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/hoco-eq20-true-wireless-tws-earbuds,4499,Yes,No,Type-C,V5.4,Yes,No,400mAh
Oraimo OPN-672 Open Ear Bluetooth Earphone,https://priceoye.pk/wireless-earbuds/oraimo/oraimo-opn-672-open-ear-bluetooth-earphone,8949,No,Yes,Type-C,V5.4,Yes,No,No
Joyroom JPods JR-PB3 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-jpods-jr-pb3-wireless-earbuds,4249,Yes,Yes,Type-C,V5.4,Yes,25mAh,300mAh
Huawei FreeBuds SE 3,https://priceoye.pk/wireless-earbuds/huawei/huawei-freebuds-se-3,11999,No,Yes,Type-C,V5.4,Yes,No,No
L-58 pro Tws LCD Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/l-58-pro-tws-lcd-wireless-earbuds,2399,Yes,No,No,V5.4,Yes,No,500mAh
Anker Soundcore H30i Wireless Headphones,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-h30i-wireless-headphones,8899,No,Yes,Type-C,V5.3,Yes,No,No
X9 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/x9-true-wireless-earbuds,1399,No,Yes,Type-C,V5.0,Yes,40mAh,400mAh
BMC 13 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/bmc-13-tws-wireless-earbuds,2099,Yes,Yes,Type-C,V5.0,Yes,25mAh,No
Remax RB-S2 Sports Magnet Wireless Bluetooth,https://priceoye.pk/wireless-earbuds/assorted/remax-rb-s2-sports-magnet-wireless-bluetooth,1899,No,No,No,V4.0,Yes,No,No
Mcdodo HP-278 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/mcdodo/mcdodo-hp-278-wireless-earbuds,4249,Yes,Yes,Type-C,V5.1,Yes,30mAh,320mAh
Bluks BX-AirPro 2 LED Wireless Earbuds,https://priceoye.pk/wireless-earbuds/bluks/bluks-bx-airpro-2-led-wireless-earbuds,3199,Yes,No,Type-C,V5.3,Yes,30mAh,300mAh
SIGMA Wireless EarBuds WAVE T2 TWS,https://priceoye.pk/wireless-earbuds/sigma/sigma-wireless-earbuds-wave-t2-tws,4599,Yes,Yes,Type-C,V5.3,Yes,30 mAh,No
Dx-31 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/dx-31-tws-wireless-earbuds,1399,No,Yes,Type-C,V5.2,Yes,No,No
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Marshall Mode II Earbuds,https://priceoye.pk/wireless-earbuds/marshall/marshall-mode-ii-earbuds,58999,Yes,Yes,Type-C,V5.1,Yes,No,No
QCY AilyBuds Pro+ ANC Wireless Earbuds Hi Res Audio,https://priceoye.pk/wireless-earbuds/qcy/qcy-ailybuds-pro-anc-wireless-earbuds-hi-res-audio,8049,Yes,Yes,Type-C,V5.2,Yes,27mAh,350mAh
Proo 17S TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/proo-17s-tws-wireless-earbuds,1549,Yes,Yes,Type-C,V5.3,Yes,No,400mAh
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Hoco EQ27 Ai Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/hoco-eq27-ai-wireless-tws-earbuds,5799,Yes,No,Type-C,V5.4,Yes,40mAh,320mAh
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
QCY Ailybuds Lite Earbuds,https://priceoye.pk/wireless-earbuds/qcy/qcy-ailybuds-lite-earbuds,4999,Yes,No,Type-C,V5.3,No,30 mAh,No
A15 Pro Wireless TWS Display Earbuds,https://priceoye.pk/wireless-earbuds/assorted/a15-pro-wireless-tws-display-earbuds,2499,Yes,Yes,Type-C,V5.4,Yes,No,300mAh
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
TWS-K63A Earbuds Smart LED Band and Labubu Key Chain Gift Set,https://priceoye.pk/wireless-earbuds/assorted/tws-k63a-earbuds-smart-led-band-and-labubu-key-chain-gift-set,1849,No,Yes,Type-C,v5.3,Yes,No,No
Joyroom Cozydots Series JR-TS1 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-cozydots-series-jr-ts1-true-wireless-earbuds,9299,Yes,No,No,V5.3,Yes,30mAh,400mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Amazon Echo Buds,https://priceoye.pk/wireless-earbuds/amazon/amazon-echo-buds,23899,Yes,Yes,Type-C,V5.3,No,30 mAh,No
Mars Elite Series Wireless Earbuds E-50,https://priceoye.pk/wireless-earbuds/mars/mars-elite-series-wireless-earbuds-e-50,2299,No,Yes,Type-C,V5.3,Yes,No,No
1HORA TWS Bluetooth Frosted Earbuds,https://priceoye.pk/wireless-earbuds/1hora/1hora-tws-bluetooth-frosted-earbuds,3199,No,No,Type-C,V5.3,Yes,35mAh,300mAh
Hajex Zen Series 01 True Wireless Earphone,https://priceoye.pk/wireless-earbuds/hajex/hajex-zen-series-01-true-wireless-earphone,3899,Yes,Yes,Type-C,V5.1,No,30 mAh,No
Amgras a1 pro wireless earbuds,https://priceoye.pk/wireless-earbuds/assorted/amgras-a1-pro-wireless-earbuds,2999,Yes,Yes,Type-C,V5.0,Yes,No,No
Bose QC Ultra Headphones,https://priceoye.pk/wireless-earbuds/bose/bose-qc-ultra-headphones,111999,Yes,No,Type-C,V5.3,Yes,No,No
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Sony Truly Wireless Earbuds WF-C510,https://priceoye.pk/wireless-earbuds/sony/sony-truly-wireless-earbuds-wf-c510,17999,No,Yes,Type-C,V5.3,Yes,No,No
Joyroom Jbuds JR-BB3 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-jbuds-jr-bb3-true-wireless-earbuds,4549,Yes,Yes,Type-C,V5.4,Yes,40mAh,400mAh
Mcdodo HP-004 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/mcdodo/mcdodo-hp-004-wireless-earbuds,3249,No,No,Type-C,V5.3,Yes,35mAh,320mAh
Amgras Future A8 Pro Earbuds,https://priceoye.pk/wireless-earbuds/assorted/amgras-future-a8-pro-earbuds,1499,No,No,Type-C,V5.2,Yes,40mAh,300mAh
GQ-01  Wireless Stereo Low-Latency Gaming Earbuds,https://priceoye.pk/wireless-earbuds/assorted/gq-01-wireless-stereo-low-latency-gaming-earbuds,1849,Yes,Yes,No,V5.3,Yes,50mAh,2200mAh
SiGMA T6 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/sigma/sigma-t6-tws-wireless-earbuds,4699,Yes,Yes,Type-C,V5.3,No,30 mAh,30mAh
Sony Ericsson Soaiy SL9 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/sony-ericsson-soaiy-sl9-true-wireless-earbuds,1949,Yes,Yes,Type-C,V5.3,Yes,No,No
Westpoint WP-101 Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/westpoint/westpoint-wp-101-bluetooth-earbuds,2449,No,Yes,Type-C,V5.3,Yes,No,200mAh
Westpoint WP-120 TWS Screen Earbuds,https://priceoye.pk/wireless-earbuds/westpoint/westpoint-wp-120-tws-screen-earbuds,6449,Yes,No,Type-C,V5.4,Yes,50mAh,500mAh
Hajex Bliss Series ZEN 02 Wireless Airpods,https://priceoye.pk/wireless-earbuds/hajex/hajex-bliss-series-zen-02-wireless-airpods,4399,No,No,Type-C,V5.3,No,30 mAh,No
Bluks BX-580 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/bluks/bluks-bx-580-wireless-earbuds,3149,Yes,No,Type-C,V5.4,Yes,30mAh,400mAh
OnePlus Buds Pro 3 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/oneplus/oneplus-buds-pro-3-wireless-earbuds,39299,No,Yes,Type-C,V5.4,3 mics + VPU,58mAh,566mAh
Faster FBT110 ARC X Earbuds,https://priceoye.pk/wireless-earbuds/faster/faster-fbt110-arc-x-earbuds,5399,Yes,Yes,Type-C,V5.3,Yes,No,No
HiFuture YACHT True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/hifuture/hifuture-yacht-true-wireless-earbuds,13299,Yes,No,Type-C,V5.3,Yes,40mAh,350mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
A16 Pro Max TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/a16-pro-max-tws-earbuds,2599,Yes,No,Type-C,V5.0,Yes,No,No
TA6 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/ta6-tws-wireless-earbuds,2399,Yes,Yes,Type-C,V5.3,Yes,25mAh,No
Sigma Wireless Earbuds Wave T1 TWS,https://priceoye.pk/wireless-earbuds/sigma/sigma-wireless-earbuds-wave-t1-tws,4449,Yes,Yes,Type-C,V5.1,Yes,No,No
Monster Melody Wireless Earbuds,https://priceoye.pk/wireless-earbuds/monster/monster-melody-wireless-earbuds,7499,No,Yes,Type-C,V5.3,Yes,40mAh,280mAh
SE-16 TWS Wireless Earbuds With Digital Display,https://priceoye.pk/wireless-earbuds/assorted/se-16-tws-wireless-earbuds-with-digital-display,1299,No,No,Type-C,V5.3,Yes,40mAh,500mAh
Mars MB-10 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/mars/mars-mb-10-wireless-earbuds,1799,No,No,Type-C,V5.0,Yes,30mAh,No
HiFuture OlymBuds 3 True Wireless Earphones,https://priceoye.pk/wireless-earbuds/hifuture/hifuture-olymbuds-3-true-wireless-earphones,7049,No,No,Type-C,V5.2,Yes,No,No
T2 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/t2-tws-wireless-earbuds,1299,Yes,Yes,Type-C,V5.0,Yes,No,No
Monster iSport Spirit 100 Wireless Earphones,https://priceoye.pk/wireless-earbuds/monster/monster-isport-spirit-100-wireless-earphones,1999,No,Yes,Micro-USB,V5.0,Yes,No,No
Powerful noise cancellation,https://priceoye.pk/wireless-earbuds/xiaomi/xiaomi-buds-3,5999,No,No,No,V5.2,Yes,No,No
Lito LT10 True Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/lito-lt10-true-wireless-tws-earbuds,4299,Yes,No,Type-C,V5.0,Yes,No,No
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
LDNIO T03 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/ldnio/ldnio-t03-true-wireless-earbuds,3999,Yes,No,No,V5.3,Dual,30mAh,300mAh
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
YYS-05 Stereo Earbuds,https://priceoye.pk/wireless-earbuds/assorted/yys-05-stereo-earbuds,1999,Yes,Yes,Type-C,V5.3,Yes,30mAh,200mAh
Apple AirPods Max,https://priceoye.pk/wireless-earbuds/apple/apple-airpods-max,144999,Yes,Yes,Lightning,V5.0,Yes,No,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Ultra fast chip,https://priceoye.pk/wireless-earbuds/xiaomi/redmi-buds-3,7549,No,No,No,V5.2,Yes,No,No
Stereo Earbud WP-115,https://priceoye.pk/wireless-earbuds/assorted/stereo-earbud-wp-115,4999,No,No,Type-C,V5.3,Yes,40mAh,No
YX19 TWS Transparent Shell True Wireless Headset Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/yx19-tws-transparent-shell-true-wireless-headset-bluetooth-earbuds,2199,Yes,No,No,V5.3,Yes,No,250mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Remax W22N Cozy Wireless Stereo Earbuds,https://priceoye.pk/wireless-earbuds/remax/remax-w22n-cozy-wireless-stereo-earbuds,3249,Yes,No,Type-C,V5.4,No,No,30mAh
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
A-99 LCD Earbuds With Silicone Pouch,https://priceoye.pk/wireless-earbuds/assorted/a-99-lcd-earbuds-with-silicone-pouch,1799,No,Yes,Type-C,V5.0,Yes,No,No
TWS STEREO EARBUDS WP-130,https://priceoye.pk/wireless-earbuds/assorted/tws-stereo-earbuds-wp-130,4599,No,No,Type-C,V5.4,Yes,40mAh,400mAh
Soundpeats Mini Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-mini-pro-wireless-earbuds,11499,Yes,Yes,Type-C,V5.2,Yes,No,No
Products That Go Together,https://priceoye.pk/wireless-earbuds/assorted/tws-k-61a-cartoon-earbuds-plus-smart-led-band-gift-set,1699,No,Yes,Type-C,v5.0,Yes,No,No
Bluks BX-590 ANC and ENC Wireless Earbuds,https://priceoye.pk/wireless-earbuds/bluks/bluks-bx-590-anc-and-enc-wireless-earbuds,3449,Yes,No,Type-C,V5.4,Yes,30mAh,350mAh
S36 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/s36-tws-wireless-earbuds,3299,Yes,Yes,Type-C,V5.4,Yes,No,No
EarFun Free Mini Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/earfun/earfun-free-mini-bluetooth-earbuds,6799,No,Yes,No,V5.0,Yes,No,470 mAh
